nombreOferta;precioActual;precioAnterior;imagenOferta;urlOferta;categoria
Chapelas cacao Dulcesol 3 ud.;1.10;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/144603_00_1.jpg;https://www.carrefour.es/supermercado/chapelas-cacao-dulcesol-3-ud-dulcesol/R-VC4AECOMM-144603/p?prtId=cat20001;2
Pan de leche con pepitas de chocolate con leche Carrefour Classic' 350 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/102780_00_1.jpg;https://www.carrefour.es/supermercado/pan-de-leche-con-pepitas-de-chocolate-con-leche-carrefour-classic-350-g-carrefour/R-526501010/p?prtId=cat20001;2
Caramelos sabor limón melisa sin azúcar Ricola 70 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/207146_00_1.jpg;https://www.carrefour.es/supermercado/caramelos-sabor-limon-melisa-sin-azucar-ricola-70-g-ricola/R-540201936/p?prtId=cat20001;2
Aceite de oliva intenso 1º La Masía garrafa 5 l.;32.40;25.95;https://static.carrefour.es/hd_280x_/img_pim_food/036841_00_1.jpg;https://www.carrefour.es/supermercado/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l-la-masia/R-521028095/p?prtId=cat20001;2
Aceite de oliva virgen Carbonell 5 l.;32.40;25.95;https://static.carrefour.es/hd_280x_/img_pim_food/815652_00_1.jpg;https://www.carrefour.es/supermercado/aceite-de-oliva-virgen-carbonell-5-l-carbonell/R-645301915/p?prtId=cat20001;2
Mermelada de mora ctegoría extra Carrefour 410 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/376313_00_1.jpg;https://www.carrefour.es/supermercado/mermelada-de-mora-ctegoria-extra-carrefour-410-g-carrefour/R-522714041/p?prtId=cat20001;2
Puré de patatas con leche Maggi sin gluten 230 g.;2.29;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/002383_00_1.jpg;https://www.carrefour.es/supermercado/pure-de-patatas-con-leche-maggi-sin-gluten-230-g-maggi/R-521005871/p?prtId=cat20001;2
Tomate frito ecológico con pimientos de piquillo Carrefour Bio sin gluten tarro 325 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/215597_00_1.jpg;https://www.carrefour.es/supermercado/tomate-frito-ecologico-con-pimientos-de-piquillo-carrefour-bio-sin-gluten-tarro-325-g-carrefour-bio/R-546306300/p?prtId=cat20001;2
Café soluble natural Nescafé Classic pack de 10 sobres de 2 g.;1.30;0.99;https://static.carrefour.es/hd_280x_/img_pim_food/028609_00_1.jpg;https://www.carrefour.es/supermercado/cafe-soluble-natural-nescafe-classic-pack-de-10-sobres-de-2-g-nescafe/R-521003053/p?prtId=cat20001;2
Leche entera Puleva sin gluten sin lactosa botella 1 l.;1.39;1.19;https://static.carrefour.es/hd_280x_/img_pim_food/435573_00_1.jpg;https://www.carrefour.es/supermercado/leche-entera-puleva-sin-gluten-sin-lactosa-botella-1-l-puleva/R-712515361/p?prtId=cat20001;2
Caramelos sabor eucalipto sin azúcar Ricola sin gluten y sin lactosa 70 g.;2.25;1.99;https://static.carrefour.es/hd_280x_/img_pim_food/207151_00_1.jpg;https://www.carrefour.es/supermercado/caramelos-sabor-eucalipto-sin-azucar-ricola-sin-gluten-y-sin-lactosa-70-g-ricola/R-540201938/p?prtId=cat20001;2
Rulo de setas y pimientos ecológico Carrefour Bio;7.95;6.05;https://static.carrefour.es/hd_280x_/img_pim_food/559853_00_1.jpg;https://www.carrefour.es/supermercado/rulo-de-setas-y-pimientos-ecologico-carrefour-bio-carrefour-bio/R-VC4AECOMM-559853/p?prtId=cat20001;2
